City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,vao,80,EE,1541250417,92,59.1,26.19,48.02,12.46
1,sao joao da barra,20,BR,1541246400,65,-21.64,-41.05,80.6,16.11
2,gamba,8,CN,1541250417,56,28.28,88.52,19.9,4.85
3,vaini,64,IN,1541250418,98,15.34,74.49,73.4,2.39
4,mataura,0,NZ,1541250418,93,-46.19,168.86,43.25,12.12
5,esperance,20,TT,1541246400,70,10.24,-61.45,86.0,6.93
6,brae,92,GB,1541249400,87,60.4,-1.35,53.6,29.97
7,cape town,0,ZA,1541246400,14,-33.93,18.42,84.2,19.46
8,moron,88,VE,1541250419,95,10.49,-68.2,70.88,2.55
9,castro,92,CL,1541250378,100,-42.48,-73.76,49.42,15.14
10,la baule-escoublac,0,FR,1541248200,47,47.28,-2.4,55.4,6.93
11,aflao,20,TG,1541246400,66,6.12,1.19,87.8,11.41
12,hermanus,56,ZA,1541250420,21,-34.42,19.24,85.19,6.13
13,reconquista,32,AR,1541250420,93,-29.14,-59.64,74.84,6.13
14,arica,90,CL,1541246400,72,-18.48,-70.32,66.2,2.24
15,barrow,0,AR,1541250420,100,-38.31,-60.23,60.53,9.37
16,pevek,80,RU,1541250421,100,69.7,170.27,11.03,7.14
17,diamantino,12,BR,1541250422,83,-14.4,-56.44,80.2,7.65
18,san cristobal,75,EC,1541246400,87,-0.39,-78.55,53.6,2.24
19,desaguadero,8,PE,1541250422,46,-16.56,-69.04,41.63,3.78
20,broken hill,68,AU,1541250423,51,-31.97,141.45,68.63,9.15
21,huilong,0,CN,1541250423,66,28.89,110.18,51.22,2.39
22,chuy,0,UY,1541250424,99,-33.69,-53.46,64.13,11.05
23,kapaa,40,US,1541246160,81,22.08,-159.32,77.0,14.99
24,punta arenas,90,CL,1541246400,75,-53.16,-70.91,55.4,8.05
25,nikel,90,NO,1541249400,93,69.41,30.21,32.0,4.7
26,rikitea,88,PF,1541250426,95,-23.12,-134.97,75.02,20.07
27,dikson,12,RU,1541250427,92,73.51,80.55,23.14,14.63
28,provideniya,20,RU,1541250427,100,64.42,-173.23,36.23,15.64
29,east london,0,ZA,1541246400,60,-33.02,27.91,71.6,23.04
30,thompson,40,CA,1541248560,76,55.74,-97.86,-5.81,2.77
31,alice springs,40,AU,1541248200,26,-23.7,133.88,91.4,6.93
32,butaritari,0,KI,1541250428,100,3.07,172.79,84.65,7.87
33,hilo,90,US,1541248800,93,19.71,-155.08,71.06,4.7
34,atuona,92,PF,1541250429,100,-9.8,-139.03,80.2,12.39
35,vila,75,IT,1541247600,93,45.18,8.4,57.2,10.29
36,aklavik,5,CA,1541246400,72,68.22,-135.01,10.4,8.05
37,brzesko,75,PL,1541250000,93,49.97,20.61,53.6,8.05
38,husavik,92,CA,1541250430,100,50.56,-96.99,30.25,7.76
39,busselton,0,AU,1541250430,100,-33.64,115.35,61.43,17.2
40,saint george,20,GR,1541247600,68,39.45,22.34,68.0,11.41
41,avarua,75,CK,1541246400,94,-21.21,-159.78,77.0,4.7
42,ribeira grande,20,PT,1541248200,64,38.52,-28.7,71.6,12.75
43,hofn,92,IS,1541250431,100,64.25,-15.21,38.84,31.52
44,longyearbyen,20,NO,1541249400,67,78.22,15.63,23.0,27.51
45,dingle,36,PH,1541250432,81,11.0,122.67,81.5,12.06
46,raahe,68,FI,1541249400,86,64.68,24.47,39.2,11.41
47,macapa,75,BR,1541246400,66,0.05,-51.07,89.6,8.05
48,port alfred,0,ZA,1541250432,56,-33.59,26.89,76.46,19.17
49,airai,8,TL,1541250433,80,-8.93,125.41,71.51,1.5
